RecordNo,endtime,qweek,is_confident,gender,age,region,household_children,employment_status,trust_Vac,worried_COVID,worried_VacSide,believe_VacEffect,freq_facemask,freq_handSanitizer,freq_avoidppl,freq_avoidHospital,freq_avoidCrowd,will_isolate,feel_worried,covid_is_dangerous,will_get_covid,social_outdoors,social_indoors,freq_avoidMixOthers,freq_avoidOvernight,freq_avoidTraveling,had_covid,vac_boost_beyond,covid_impact_future,work_outside,has_disease,vac_mandatory
42320,2022-01-04 00:43:00,44,True,Female,22,British Columbia / Colombie Britanique,None,Full time student,1,4,4,4,5,5,5,3,3,Yes,Prefer not to say,6,1,No,No,4,5,3,,,,,No,Yes
42321,2022-01-04 00:47:00,44,False,Female,35,Manitoba,More than 3,Full time employment,2,4,3,3,1,5,5,3,4,Yes,No,5,6,No,No,4,5,4,,,,Yes,Yes,No
42322,2022-01-04 00:48:00,44,False,Female,51,Ontario,None,Unemployed,2,2,1,2,4,3,5,5,3,Yes,No,2,5,No,Yes,3,5,4,,,,,No,Yes
42323,2022-01-04 00:49:00,44,False,Female,20,Ontario,None,Full time student,2,1,2,3,5,4,5,5,4,Yes,No,1,4,Yes,Yes,4,5,3,,,,,No,Yes
42324,2022-01-04 00:49:00,44,False,Female,75,Saskatchewan,None,Retired,3,3,3,5,5,5,5,5,5,Yes,No,5,4,No,No,5,5,5,,,,,Yes,Yes
42325,2022-01-04 00:53:00,44,False,Female,23,Manitoba,1 or 2,Full time employment,2,2,4,5,5,5,5,5,4,No,Yes,3,5,No,No,3,4,5,,,,No,Yes,Yes
42326,2022-01-04 00:55:00,44,True,Male,36,British Columbia / Colombie Britanique,None,Unemployed,2,1,3,3,5,5,5,5,5,Yes,No,4,4,No,Yes,5,5,5,,,,,No,No
42327,2022-01-04 00:56:00,44,True,Male,41,Ontario,1 or 2,Full time employment,3,4,1,4,5,5,4,2,4,Yes,No,4,4,No,No,4,5,4,,,,Yes,No,Yes
42328,2022-01-04 01:00:00,44,False,Female,21,British Columbia / Colombie Britanique,More than 3,Other,2,4,3,4,4,5,4,4,3,No,No,3,2,No,No,5,3,4,,,,,No,Yes
42329,2022-01-04 01:11:00,44,False,Female,68,Alberta,None,Retired,2,4,2,4,5,5,5,3,5,Yes,No,5,5,No,No,5,5,5,,,,,Yes,Yes
42330,2022-01-04 01:16:00,44,False,Female,21,Ontario,1 or 2,Full time employment,0,3,3,2,5,5,3,5,1,Yes,No,4,2,Yes,No,1,1,3,,,,Yes,No,Yes
42331,2022-01-04 01:17:00,44,True,Female,35,Alberta,1 or 2,Full time student,3,2,3,5,5,5,5,5,5,Yes,No,7,1,No,No,5,5,5,,,,,No,Yes
42333,2022-01-04 01:26:00,44,False,Female,56,Manitoba,None,Full time employment,2,4,4,3,5,5,5,5,4,Yes,No,6,6,No,No,5,5,5,,,,No,Yes,No
42334,2022-01-04 01:27:00,44,True,Female,65,New Brunswick / Nouveau-Brunswick,None,Retired,2,5,4,3,5,5,5,5,5,No,Yes,7,4,No,No,5,5,5,,,,,Yes,Yes
42335,2022-01-04 01:31:00,44,True,Female,50,Ontario,None,Not working,2,5,5,4,5,5,5,5,5,Yes,Yes,7,7,No,No,4,5,5,,,,,Yes,Yes
42337,2022-01-04 01:46:00,44,False,Female,32,Ontario,None,Full time employment,3,5,1,1,5,5,5,5,5,Yes,No,7,7,Yes,No,5,5,5,,,,Yes,Yes,Yes
42338,2022-01-04 01:49:00,44,False,Female,19,Ontario,1 or 2,Unemployed,2,4,3,3,5,4,5,5,4,Yes,No,4,2,Yes,Yes,2,5,3,,,,,No,Yes
42339,2022-01-04 01:58:00,44,False,Male,54,British Columbia / Colombie Britanique,1 or 2,Full time employment,1,3,4,4,4,4,5,4,5,Yes,No,5,4,No,No,5,5,5,,,,Yes,No,Yes
42340,2022-01-04 02:03:00,44,False,Female,54,Ontario,None,Full time employment,3,5,2,3,5,3,5,5,5,Yes,Yes,6,7,Yes,Yes,5,5,4,,,,No,Yes,Yes
42341,2022-01-04 02:06:00,44,True,Female,30,Ontario,1 or 2,Full time employment,3,5,5,5,5,5,5,4,5,Yes,No,7,1,Yes,Yes,5,5,5,,,,No,No,Yes
42342,2022-01-04 02:09:00,44,True,Male,43,Ontario,1 or 2,Full time employment,2,2,2,3,5,4,4,4,3,Yes,No,1,2,No,No,4,1,2,,,,Yes,No,No
42343,2022-01-04 02:15:00,44,False,Female,30,Ontario,1 or 2,Full time employment,2,5,5,4,5,5,5,5,5,Yes,No,5,4,No,No,4,5,5,,,,Yes,No,Yes
42344,2022-01-04 02:18:00,44,False,Female,33,Alberta,1 or 2,Full time student,0,1,3,1,5,5,3,4,2,Yes,Prefer not to say,1,5,No,No,3,3,2,,,,,Yes,No
42345,2022-01-04 02:30:00,44,True,Male,33,British Columbia / Colombie Britanique,1 or 2,Full time employment,3,5,1,5,5,5,5,4,4,Yes,No,6,5,No,No,5,5,4,,,,Yes,No,Yes
42346,2022-01-04 02:37:00,44,False,Male,54,Alberta,More than 3,Part time employment,2,2,1,4,5,2,1,1,1,Yes,Yes,2,4,Yes,Yes,1,1,1,,,,Yes,No,Yes
42347,2022-01-04 02:40:00,44,False,Female,29,Alberta,None,Full time employment,0,1,4,3,5,5,5,1,3,Yes,Yes,1,1,No,Yes,2,3,5,,,,No,No,No
42349,2022-01-04 02:49:00,44,True,Female,22,Nunavut,1 or 2,Part time employment,2,4,3,4,4,5,5,1,4,Yes,Yes,5,3,No,No,3,4,3,,,,Yes,No,Yes
42350,2022-01-04 02:56:00,44,True,Male,22,Ontario,None,Part time employment,1,4,2,3,5,5,5,5,5,No,Yes,3,3,Yes,No,5,5,5,,,,No,No,Yes
42351,2022-01-04 03:04:00,44,True,Male,26,British Columbia / Colombie Britanique,None,Full time employment,1,4,2,2,5,5,5,1,4,Yes,Yes,7,7,Yes,Yes,5,5,1,,,,Yes,,No
42352,2022-01-04 03:11:00,44,False,Female,41,Ontario,None,Full time employment,1,2,5,1,5,4,4,4,3,Yes,No,3,5,No,No,4,5,3,,,,No,Yes,No
42353,2022-01-04 03:18:00,44,True,Female,31,Ontario,None,Full time student,3,5,1,5,5,5,5,5,5,Yes,No,4,5,No,No,4,5,5,,,,,No,Yes
42354,2022-01-04 03:21:00,44,False,Female,36,Alberta,1 or 2,Part time employment,2,3,3,5,5,4,5,1,5,Yes,Yes,5,6,No,No,5,4,4,,,,Yes,No,Yes
42355,2022-01-04 03:45:00,44,False,Female,30,British Columbia / Colombie Britanique,None,Unemployed,2,4,4,2,5,4,4,1,1,Yes,No,1,3,Yes,No,5,3,1,,,,,No,Yes
42356,2022-01-04 03:48:00,44,True,Female,37,Ontario,More than 3,Full time student,1,4,3,3,4,5,5,5,5,No,No,1,2,No,Yes,4,5,5,,,,,No,Yes
42357,2022-01-04 03:49:00,44,True,Male,29,British Columbia / Colombie Britanique,None,Full time employment,1,3,3,3,5,5,5,5,5,Yes,No,5,5,No,No,5,5,5,,,,Yes,No,No
42358,2022-01-04 03:52:00,44,False,Female,25,Alberta,1 or 2,Not working,0,3,4,3,3,1,5,4,4,Yes,No,3,3,No,Yes,1,5,1,,,,,No,No
42359,2022-01-04 03:59:00,44,False,Female,22,Alberta,None,Part time employment,3,1,4,1,5,5,5,5,5,Yes,Yes,4,6,No,No,5,5,5,,,,Yes,Yes,Yes
42360,2022-01-04 04:07:00,44,True,Female,38,British Columbia / Colombie Britanique,1 or 2,Part time employment,2,4,3,4,5,5,5,2,5,Yes,No,4,6,No,No,5,5,5,,,,No,No,Yes
42361,2022-01-04 04:26:00,44,False,Female,44,British Columbia / Colombie Britanique,1 or 2,Part time employment,2,1,2,4,4,3,4,4,2,Yes,No,1,7,Yes,Yes,2,2,2,,,,No,No,No
42362,2022-01-04 04:29:00,44,False,Female,34,Alberta,None,Full time employment,3,5,1,5,5,5,5,5,5,Yes,No,5,5,No,No,3,5,4,,,,No,Yes,Yes
42363,2022-01-04 04:34:00,44,True,Female,20,British Columbia / Colombie Britanique,More than 3,Full time student,3,4,1,5,5,4,5,5,4,No,No,7,2,No,No,5,5,5,,,,,No,Yes
42364,2022-01-04 04:47:00,44,False,Male,34,Ontario,None,Full time employment,0,1,4,1,5,5,5,5,2,No,No,1,1,No,No,2,2,2,,,,Yes,No,No
42365,2022-01-04 04:47:00,44,False,Female,36,Alberta,1 or 2,Full time employment,1,2,5,2,3,5,4,4,5,Not sure,Yes,3,7,No,Yes,3,4,5,,,,Yes,Yes,No
42366,2022-01-04 05:25:00,44,False,Female,20,Ontario,None,Part time employment,0,1,5,3,5,5,5,3,5,No,Yes,2,1,No,Yes,2,5,5,,,,Yes,No,Yes
42367,2022-01-04 05:27:00,44,True,Female,26,Nova Scotia / Nouvelle-Écosse,None,Part time employment,2,5,3,4,5,5,5,3,5,Yes,Yes,7,2,No,No,5,4,4,,,,No,No,Yes
42368,2022-01-04 06:06:00,44,True,Female,35,Ontario,1 or 2,Unemployed,2,3,5,4,5,5,5,5,4,Yes,No,5,4,No,No,4,5,5,,,,,No,Yes
42369,2022-01-04 06:43:00,44,True,Female,41,Alberta,More than 3,Full time student,3,1,3,5,5,5,1,1,1,Not sure,No,7,4,No,No,1,1,1,,,,,Yes,Yes
42370,2022-01-04 06:52:00,44,True,Male,21,Ontario,None,Part time employment,3,3,5,5,5,5,4,3,3,No,No,7,1,No,No,5,5,3,,,,Yes,No,Yes
42371,2022-01-04 07:20:00,44,False,Male,19,British Columbia / Colombie Britanique,1 or 2,Full time student,3,4,2,4,4,3,4,1,3,Yes,Yes,4,7,No,No,5,5,2,,,,,No,Yes
42372,2022-01-04 08:49:00,44,False,Female,38,Ontario,More than 3,Full time employment,0,3,5,1,5,5,5,5,4,Yes,Yes,2,3,No,Yes,3,5,5,,,,Yes,Yes,No
42373,2022-01-04 09:04:00,44,False,Male,52,Newfoundland & Labrador / Terre-Neuve-et-Labrador,More than 3,Full time employment,1,4,4,3,5,5,5,3,5,Yes,No,6,3,No,Yes,3,5,3,,,,Yes,Yes,Yes
42374,2022-01-04 09:53:00,44,True,Male,30,Alberta,More than 3,Unemployed,2,5,3,3,5,2,5,4,5,Yes,Yes,5,1,No,No,3,3,5,,,,,No,No
42375,2022-01-04 10:45:00,44,True,Female,22,Ontario,None,Full time student,2,5,2,4,5,5,4,5,2,Yes,No,5,7,No,Yes,3,5,1,,,,,Yes,Yes
42376,2022-01-04 11:51:00,44,False,Male,47,New Brunswick / Nouveau-Brunswick,1 or 2,Not working,1,5,5,5,3,5,5,5,5,No,Yes,7,1,No,No,5,5,5,,,,,Yes,Yes
42377,2022-01-04 12:21:00,44,False,Male,37,Ontario,None,Full time employment,1,3,4,2,1,5,5,5,5,Yes,Yes,5,5,No,No,5,5,4,,,,No,Yes,No
42378,2022-01-04 12:43:00,44,True,Female,19,Ontario,None,Part time employment,2,3,1,5,5,5,5,3,5,Yes,No,4,3,No,No,5,5,5,,,,Yes,No,Yes
42379,2022-01-04 13:05:00,44,False,Male,48,Ontario,None,Full time employment,1,1,3,2,1,1,4,5,3,Yes,No,1,7,No,Yes,2,5,4,,,,No,No,No
42380,2022-01-04 13:29:00,44,True,Male,38,Ontario,More than 3,Full time employment,2,5,4,4,5,5,5,5,5,No,No,7,7,No,No,5,5,5,,,,Yes,Yes,Yes
42381,2022-01-04 13:50:00,44,True,Female,36,Ontario,None,Unemployed,1,1,5,3,5,5,5,5,5,Yes,No,1,1,No,No,5,5,5,,,,,Yes,No
42382,2022-01-04 13:53:00,44,True,Male,26,Ontario,None,Part time employment,3,1,1,1,5,4,5,5,4,Yes,Prefer not to say,1,1,Yes,No,5,4,4,,,,Yes,No,Yes
42383,2022-01-04 14:28:00,44,False,Female,20,Ontario,None,Full time student,3,2,1,5,5,5,5,3,4,Yes,No,2,6,Yes,Yes,3,3,3,,,,,Yes,Yes
42385,2022-01-04 15:31:00,44,False,Male,44,Ontario,None,Part time employment,1,3,4,3,4,4,4,3,3,No,Yes,5,4,No,No,4,4,4,,,,Yes,Yes,Yes
42386,2022-01-04 15:42:00,44,False,Male,25,Manitoba,None,Full time employment,0,1,5,2,5,4,5,5,3,Yes,Yes,1,7,No,Yes,1,4,5,,,,Yes,Yes,No
42387,2022-01-04 16:09:00,44,False,Male,26,Ontario,None,Full time employment,1,4,4,4,5,5,5,3,4,No,No,4,5,No,Yes,3,5,5,,,,Yes,No,Yes
42388,2022-01-04 16:13:00,44,False,Female,38,Alberta,More than 3,Not working,1,1,2,1,5,5,5,5,3,Yes,Yes,7,4,No,No,5,5,4,,,,,No,Yes
42389,2022-01-04 16:17:00,44,False,Female,19,Alberta,1 or 2,Full time employment,3,1,2,3,1,5,3,1,1,No,No,1,7,Yes,Yes,1,1,1,,,,Yes,Yes,Yes
42390,2022-01-04 16:58:00,44,False,Male,52,Newfoundland & Labrador / Terre-Neuve-et-Labrador,More than 3,Full time employment,0,2,5,1,5,2,1,3,5,No,No,3,4,No,No,4,5,5,,,,Yes,No,No
42392,2022-01-04 17:15:00,44,True,Female,44,Newfoundland & Labrador / Terre-Neuve-et-Labrador,None,Full time employment,2,4,5,5,5,5,5,5,5,Yes,No,7,7,No,No,5,5,5,,,,Yes,Yes,Yes
42393,2022-01-04 17:39:00,44,True,Male,21,Ontario,None,Full time student,3,4,2,5,5,5,5,4,3,Yes,No,3,5,No,No,5,5,5,,,,,Yes,Yes
42394,2022-01-04 17:56:00,44,True,Male,49,British Columbia / Colombie Britanique,None,Other,1,4,4,4,5,4,4,3,5,Yes,Yes,7,3,No,No,3,3,5,,,,,Yes,Yes
42395,2022-01-04 18:02:00,44,False,Female,38,Ontario,1 or 2,Full time employment,0,4,4,5,5,4,5,5,5,Yes,No,7,7,No,No,4,5,1,,,,Yes,Yes,No
42396,2022-01-04 18:08:00,44,True,Male,35,Nova Scotia / Nouvelle-Écosse,None,Full time employment,3,4,2,5,5,4,5,4,5,Yes,No,4,3,Yes,No,4,5,5,,,,Yes,Yes,Yes
42397,2022-01-04 18:28:00,44,False,Female,21,Alberta,Prefer not to say,Unemployed,0,3,3,3,5,3,4,2,4,No,Yes,4,1,Yes,Yes,3,5,4,,,,,,No
42398,2022-01-04 18:37:00,44,False,Female,39,Ontario,None,Full time employment,3,4,1,5,4,4,5,5,5,Yes,No,5,5,No,No,5,4,4,,,,No,Yes,Yes
42399,2022-01-04 18:47:00,44,True,Female,23,Ontario,1 or 2,Unemployed,2,2,2,3,5,5,4,3,3,Yes,No,7,7,No,No,3,2,5,,,,,No,Yes
42400,2022-01-04 19:27:00,44,False,Male,29,Ontario,Prefer not to say,Full time employment,0,3,5,1,5,4,5,3,3,Yes,Yes,4,3,No,No,3,5,5,,,,No,No,No
42401,2022-01-04 19:40:00,44,False,Female,21,Ontario,More than 3,Full time student,1,3,3,3,4,4,3,5,4,Yes,Yes,4,3,Yes,Yes,2,2,3,,,,,No,Yes
42402,2022-01-04 19:57:00,44,True,Female,24,Alberta,None,Unemployed,3,4,2,5,5,5,3,5,3,No,Yes,5,5,Yes,Yes,3,3,1,,,,,No,Yes
42403,2022-01-04 20:00:00,44,True,Female,24,Nova Scotia / Nouvelle-Écosse,1 or 2,Not working,1,2,1,3,5,5,5,3,5,Yes,No,4,5,Yes,No,2,5,5,,,,,Yes,No
42404,2022-01-04 20:00:00,44,True,Male,29,Alberta,1 or 2,Unemployed,3,3,2,4,4,4,5,4,4,Yes,No,7,5,Yes,Yes,3,4,3,,,,,Yes,Yes
42405,2022-01-04 20:07:00,44,False,Male,51,British Columbia / Colombie Britanique,None,Retired,0,1,1,1,4,4,1,5,1,Yes,Yes,1,1,No,Yes,1,2,5,,,,,Yes,No
42406,2022-01-04 20:13:00,44,True,Male,21,Ontario,More than 3,Unemployed,3,3,2,4,4,5,4,3,5,Yes,No,4,1,No,Yes,3,4,2,,,,,No,Yes
42407,2022-01-04 20:34:00,44,False,Male,21,Ontario,1 or 2,Full time student,2,1,4,3,5,3,3,4,2,Yes,Yes,3,6,No,No,1,5,3,,,,,Yes,Yes
42408,2022-01-04 20:59:00,44,True,Female,44,British Columbia / Colombie Britanique,None,Unemployed,3,5,1,2,5,4,5,4,5,Yes,No,7,3,No,No,5,5,5,,,,,Yes,Yes
42409,2022-01-04 21:21:00,44,True,Female,22,Ontario,None,Full time student,3,1,1,5,5,5,5,2,3,Yes,No,6,2,Yes,No,4,5,3,,,,,No,Yes
42410,2022-01-04 21:21:00,44,True,Female,38,British Columbia / Colombie Britanique,1 or 2,Full time employment,1,3,4,4,3,3,4,4,3,No,No,4,3,Yes,No,3,3,3,,,,Yes,No,Yes
42411,2022-01-04 22:01:00,44,True,Male,19,Ontario,None,Unemployed,3,1,1,5,5,5,5,5,5,Yes,Yes,1,1,No,No,5,5,5,,,,,No,Yes
42412,2022-01-05 00:43:00,44,False,Female,36,Alberta,1 or 2,Not working,3,4,2,4,1,5,5,1,5,Yes,No,3,3,No,No,5,5,5,,,,,No,Yes
42413,2022-01-05 02:05:00,44,True,Male,30,Ontario,1 or 2,Full time employment,2,3,2,5,5,5,5,5,5,Yes,No,5,5,No,No,5,5,5,,,,No,No,Yes
42414,2022-01-04 22:21:00,44,True,Male,37,Newfoundland & Labrador / Terre-Neuve-et-Labrador,None,Full time employment,2,3,3,3,3,3,3,3,3,Yes,Prefer not to say,4,4,No,No,3,3,3,,,,Yes,Yes,Yes
42415,2022-01-04 22:24:00,44,False,Male,51,Saskatchewan,None,Full time employment,3,4,1,5,5,4,5,4,5,Yes,No,7,3,No,No,4,5,4,,,,Yes,Yes,Yes
42416,2022-01-04 22:50:00,44,False,Male,30,British Columbia / Colombie Britanique,None,Unemployed,1,1,1,2,4,1,2,5,1,Yes,No,1,1,No,Yes,1,1,3,,,,,No,No
42417,2022-01-04 23:26:00,44,True,Male,35,Newfoundland & Labrador / Terre-Neuve-et-Labrador,1 or 2,Unemployed,0,2,4,5,5,5,5,5,5,No,Prefer not to say,7,1,No,No,5,5,2,,,,,Yes,Yes
42418,2022-01-04 23:48:00,44,True,Male,19,Ontario,1 or 2,Not working,1,2,4,1,5,4,5,3,5,Yes,No,6,2,Yes,No,2,4,4,,,,,No,No
42419,2022-01-04 23:54:00,44,False,Male,21,Newfoundland & Labrador / Terre-Neuve-et-Labrador,Prefer not to say,Other,1,4,4,3,5,5,5,4,4,Yes,Yes,7,7,Yes,No,1,5,3,,,,,No,Yes
42420,2022-01-05 00:03:00,44,True,Male,19,New Brunswick / Nouveau-Brunswick,More than 3,Not working,0,2,4,2,5,5,5,5,5,No,Yes,2,2,No,Yes,5,5,4,,,,,Yes,Yes
42421,2022-01-08 19:01:00,44,False,Female,39,Alberta,More than 3,Not working,0,3,5,1,5,4,4,5,4,Yes,Yes,7,5,Yes,Yes,3,5,5,,,,,Yes,Yes
42422,2022-01-05 00:41:00,44,True,Male,40,Nova Scotia / Nouvelle-Écosse,1 or 2,Full time employment,3,4,1,4,5,4,5,5,4,Yes,Yes,4,5,No,No,4,5,5,,,,No,Yes,Yes
42423,2022-01-05 01:14:00,44,False,Male,24,Alberta,None,Unemployed,2,4,2,3,5,5,5,5,4,Yes,Yes,3,5,No,No,4,5,4,,,,,No,Yes
42424,2022-01-05 01:43:00,44,True,Male,31,Ontario,None,Unemployed,1,2,3,3,3,4,3,3,3,Yes,Yes,6,5,No,No,5,2,3,,,,,Yes,Yes
42425,2022-01-05 02:44:00,44,False,Male,29,Alberta,None,Unemployed,2,4,4,4,4,5,5,4,5,No,Yes,4,4,No,Yes,4,5,5,,,,,No,No
42426,2022-01-05 02:55:00,44,False,Male,33,Ontario,None,Full time student,2,1,3,3,2,2,1,5,5,Yes,Yes,1,3,No,No,5,5,3,,,,,Yes,No
42427,2022-01-05 03:06:00,44,True,Male,34,Ontario,None,Full time employment,2,4,3,5,5,5,5,2,3,Yes,No,7,2,No,No,2,4,5,,,,Yes,No,Yes
42429,2022-01-05 03:26:00,44,False,Male,24,Newfoundland & Labrador / Terre-Neuve-et-Labrador,None,Part time employment,1,4,4,4,5,4,5,5,5,Yes,Prefer not to say,7,1,No,No,5,5,5,,,,No,Yes,Yes
42431,2022-01-05 03:52:00,44,True,Male,20,Nova Scotia / Nouvelle-Écosse,None,Part time employment,2,1,1,1,5,5,5,5,5,No,No,4,1,No,Yes,5,5,5,,,,Yes,No,Yes
42432,2022-01-05 04:18:00,44,False,Male,21,Ontario,None,Unemployed,2,3,2,3,5,5,5,1,5,Yes,Yes,2,7,No,No,5,4,5,,,,,No,Yes
42433,2022-01-05 04:41:00,44,True,Male,25,Nova Scotia / Nouvelle-Écosse,None,Full time employment,3,4,1,5,5,2,3,5,4,Yes,No,2,2,No,Yes,3,5,4,,,,Yes,No,Yes
42434,2022-01-05 04:46:00,44,True,Male,53,British Columbia / Colombie Britanique,None,Full time employment,2,4,3,3,5,5,5,5,4,Yes,No,6,4,No,No,5,5,4,,,,No,Yes,Yes
42435,2022-01-05 05:52:00,44,True,Male,25,Nova Scotia / Nouvelle-Écosse,None,Part time employment,1,3,3,3,5,5,5,5,5,No,No,5,6,Yes,No,5,5,5,,,,Yes,Yes,Yes
42436,2022-01-05 06:53:00,44,False,Male,42,Ontario,None,Full time employment,0,1,5,1,5,5,5,5,5,Yes,No,2,1,No,No,5,5,5,,,,Yes,Yes,No
42437,2022-01-05 07:16:00,44,True,Male,48,Manitoba,1 or 2,Unemployed,2,3,3,3,5,5,5,5,5,Yes,Prefer not to say,3,5,No,No,5,5,5,,,,,No,Yes
42438,2022-01-05 07:28:00,44,False,Male,21,Ontario,1 or 2,Unemployed,2,4,3,3,5,5,4,4,4,Yes,Yes,5,4,Yes,No,3,5,5,,,,,No,Yes
42439,2022-01-05 07:38:00,44,False,Male,50,Alberta,1 or 2,Full time employment,2,1,3,3,5,4,4,5,4,Yes,Prefer not to say,5,1,No,Yes,4,4,4,,,,Yes,No,Yes
42440,2022-01-05 08:44:00,44,False,Male,36,New Brunswick / Nouveau-Brunswick,1 or 2,Unemployed,0,3,5,2,4,4,3,4,4,Not sure,Yes,4,6,No,No,4,4,4,,,,,Yes,No
42441,2022-01-05 09:16:00,44,True,Male,18,Ontario,None,Not working,2,1,5,1,5,5,5,5,5,No,Yes,3,1,No,No,5,5,5,,,,,No,Yes
42442,2022-01-05 12:13:00,44,True,Male,53,Ontario,None,Part time employment,2,3,2,4,5,5,5,5,5,Yes,No,7,5,No,No,4,5,4,,,,Yes,No,Yes
42443,2022-01-05 12:27:00,44,False,Male,47,Ontario,1 or 2,Full time employment,3,5,2,4,5,5,5,5,5,Yes,No,6,6,Yes,No,4,5,5,,,,No,No,Yes
42444,2022-01-05 12:55:00,44,False,Male,30,Ontario,None,Unemployed,0,1,3,2,5,1,4,5,2,Yes,No,2,2,No,Yes,1,2,2,,,,,No,No
42445,2022-01-05 13:41:00,44,False,Male,51,Ontario,None,Unemployed,3,5,2,4,5,4,5,5,5,Yes,No,7,7,No,No,3,5,2,,,,,No,Yes
42446,2022-01-05 14:01:00,44,True,Male,54,Ontario,1 or 2,Full time employment,2,3,3,4,5,4,5,1,3,No,No,5,7,No,No,1,3,2,,,,No,Yes,Yes
42447,2022-01-05 14:15:00,44,True,Male,26,Ontario,None,Full time employment,2,3,3,4,5,4,5,1,4,Yes,Yes,3,7,No,No,4,5,4,,,,Yes,No,No
42448,2022-01-05 14:20:00,44,True,Male,39,Nova Scotia / Nouvelle-Écosse,1 or 2,Full time employment,2,3,1,3,5,4,5,3,5,Yes,No,3,4,No,No,5,5,5,,,,Yes,No,Yes
42449,2022-01-05 14:24:00,44,False,Male,20,Ontario,1 or 2,Full time student,2,3,3,5,5,4,5,5,3,Yes,Yes,7,4,No,No,4,5,4,,,,,No,Yes
42450,2022-01-05 14:34:00,44,False,Male,47,Alberta,More than 3,Not working,2,5,2,4,5,3,5,5,4,Yes,No,7,4,No,No,4,5,4,,,,,Yes,Yes
42451,2022-01-05 14:58:00,44,True,Male,51,Nova Scotia / Nouvelle-Écosse,1 or 2,Full time employment,2,2,2,3,5,4,4,5,5,Yes,No,2,7,No,Yes,3,5,5,,,,Yes,No,Yes
42452,2022-01-05 15:15:00,44,False,Male,28,Ontario,None,Full time employment,2,3,3,2,4,4,4,5,4,Yes,No,3,4,Yes,Yes,4,4,4,,,,No,No,No
42453,2022-01-05 16:12:00,44,False,Male,20,Ontario,More than 3,Full time student,1,3,3,3,5,2,5,2,2,Yes,No,2,4,Yes,Yes,3,3,2,,,,,No,No
42454,2022-01-05 16:57:00,44,False,Male,39,Ontario,None,Part time employment,0,2,5,1,5,4,4,5,4,Not sure,Yes,2,2,No,No,4,4,4,,,,Yes,No,No
42455,2022-01-05 17:39:00,44,False,Male,21,New Brunswick / Nouveau-Brunswick,None,Unemployed,1,5,3,1,5,5,5,4,5,Yes,Yes,4,3,No,No,4,4,5,,,,,Yes,Yes
42456,2022-01-05 20:34:00,44,True,Male,28,Ontario,None,Full time employment,2,5,5,4,5,5,5,5,5,Yes,Yes,3,2,No,No,5,5,5,,,,No,No,Yes
42457,2022-01-05 21:04:00,44,False,Male,38,Manitoba,1 or 2,Full time employment,3,4,3,1,5,5,5,1,4,Yes,Yes,5,3,No,No,4,5,3,,,,Yes,Yes,Yes
42458,2022-01-05 21:19:00,44,False,Male,29,Ontario,More than 3,Part time employment,1,4,4,3,5,4,5,5,5,Yes,No,7,1,No,No,5,5,4,,,,Yes,Yes,No
42459,2022-01-05 22:15:00,44,True,Male,37,Ontario,1 or 2,Unemployed,2,2,3,1,5,5,5,4,5,Yes,No,2,2,No,No,5,5,5,,,,,Yes,Yes
42460,2022-01-05 23:45:00,44,False,Male,39,British Columbia / Colombie Britanique,1 or 2,Full time employment,0,3,3,3,5,2,5,2,2,No,No,5,2,Yes,Yes,2,2,2,,,,No,No,No
42461,2022-01-06 00:18:00,44,True,Male,21,Manitoba,None,Part time employment,1,3,3,3,4,4,5,4,3,Yes,Yes,5,1,Yes,Yes,3,3,4,,,,Yes,No,No
42462,2022-01-06 01:15:00,44,False,Male,21,British Columbia / Colombie Britanique,More than 3,Full time student,2,3,4,3,5,5,5,3,5,Yes,Yes,3,2,No,No,3,5,4,,,,,No,Yes
42463,2022-01-06 01:19:00,44,False,Male,31,Ontario,1 or 2,Part time employment,0,1,1,1,5,2,5,4,5,Yes,Yes,3,3,No,No,5,5,3,,,,Yes,Yes,No
42464,2022-01-06 01:22:00,44,False,Male,25,Ontario,None,Unemployed,0,1,5,1,5,5,5,2,4,Not sure,Yes,1,1,No,No,2,5,4,,,,,No,No
42465,2022-01-10 15:31:00,44,True,Male,30,Alberta,1 or 2,Full time employment,1,4,5,4,4,3,3,3,4,Not sure,No,4,2,Yes,No,4,3,3,,,,Yes,No,Yes
42466,2022-01-06 03:49:00,44,False,Male,26,Ontario,None,Full time employment,3,5,1,4,5,5,5,5,4,Yes,No,3,7,No,No,4,2,5,,,,Yes,,Yes
42467,2022-01-06 04:19:00,44,True,Male,21,British Columbia / Colombie Britanique,None,Full time student,2,2,3,4,4,4,5,5,4,Yes,Yes,5,4,No,No,3,3,4,,,,,Yes,Yes
42468,2022-01-06 04:20:00,44,True,Male,25,Nova Scotia / Nouvelle-Écosse,None,Part time employment,2,5,5,5,5,5,4,4,2,Yes,Yes,7,2,No,Yes,3,4,4,,,,Yes,No,Yes
42469,2022-01-06 23:20:00,44,True,Male,25,British Columbia / Colombie Britanique,Prefer not to say,Other,2,3,3,4,5,5,5,3,4,Yes,No,4,1,No,No,3,3,3,,,,,No,Yes
42470,2022-01-06 06:15:00,44,True,Male,27,Ontario,1 or 2,Full time employment,2,2,2,2,5,5,4,5,5,Yes,Yes,6,5,Yes,No,4,5,5,,,,Yes,Yes,Yes
